"Step","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_lion_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adafactor_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adamw_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam-mini_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_sgd_512 - memory/train_peak_gpu_memory_mb__MAX","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MIN","ResNet-18_cifar10_adam_512 - memory/train_peak_gpu_memory_mb__MAX"
"46","","","","","","","","","","","","","2556.19775390625","2556.19775390625","2556.19775390625","","",""
"47","","","","","","","","","","","","","2556.19775390625","2556.19775390625","2556.19775390625","","",""
"48","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"49","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"50","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"51","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"52","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"53","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"54","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"55","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"56","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"57","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"58","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"59","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"60","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"61","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
"62","","","","","","","","","","","","","2555.44775390625","2555.44775390625","2555.44775390625","","",""
